id,text,label
51,gunde saale ..... ac hall me baith k mt bhonk be yogendrayadav aukat h to gurgaon k kisi ek bnde ka c,0
52,bengal bjp mei tmc ke kuch galat neta apne app ko bachane ko jogdan kar rahe he isse party ka support barne ke baj,0
53,happy birthday pretty girl thank u for all the good agnes memories cards soon hahahahaha enjoy your day !!!!,1
54,sir life ka ek sapna hai kabhe kisi din aap se ek mulakaat kerna log netaaon k fan hote hain mai aap ka,2
55,mere bhai yah shariyath tho pahele se hi india may sirf muslims ke liyah hai aur rahegi inshallah,0
56,superb look very handsome,1
57,dhup aarti shri sai baba mandir shirdi may baba bless all with all the happiness of the world om sai ram,1
58,respected rahul sir dont disappoint you u r a great leader aap ki soch aap,1
59,jay bajrang bali,1
60,haramzade hamare tukdo pe palta hai hamein aakh dikhata hai ... kutte tu pagal ho gaya,0
61,my year old declared her record of watching badshah on tv50 times claims to be your biggest fan she do,1
62,nahi mut sorry health department sare hospital band karo sab ko pehle dhar ka gaumutra do sab bimari,1
63,main priyanka prakash modi dada ki poti ..... main unse kehna chahti hun ki is baar mere dada ye v sapat le ki dahej,2
64,tu bahut pitega ak din be chutiye .... sale teri himmat kaise hui voters ko idiots bolne ki ..... abe ujde,2
65,hi pmo good morning modi ji se ek binti hai hum log facbook pe unke liye din raat lage rahe modi ji k par,0
66,mderchod bhartye sainik likhta h ..... hrami aulad hindu hogya bs desh bhakt ho gaya kisi bhi gali teri may,2
67,shatram arey ye meri didi depressed ho gyi bechari chlo din me rr to band hoga aur ye tweets kuki mjh,2
68,talented as you i thank god for creating such a perfect and generous person i pray that you will continue to b,1
69,sach keh raha hai deewana dil dil na kisi se lagana jhoothe hai pyaar ke waade sare jhoothi hai pyaar ki kasme,1
70,namaskar sir ji mere aur se aap ko ek requst hai lakhnpur se satwari chowk tak street light ka ka,1
71,jo bjp ke saath nahi woh atankwadi h aour jo hindu rss ke saath nahi woh deshdrohi hai aaj kal b,1
72,sabdo ke marham se ye gahra jakham dur nahi hoga in bacho aur bachiyo ko bhavbhini sardhanjali aur pari,1
73,soch h in logo ki ghatiya jo gareebo ko mar rah,2
74,modi ji e jiske paas zameen haiuse to aap kisan samman nidhi yojna diya salana dene ka,2
75,manniya goyal ji avdhesh duby ko jail main dal diya .. kripya traino main jo tte nd police ne jo loot m,1
76,o hello kaun ho aap what is your identity out side west bengal through out the country and in the,2
77,pramod tum ko acharya ki padvi kis ne di gadhe ko acharya nahi bol sakte tumko to ye ek kissa mal,2
78,bhai ajay didn t have good last few movies point taken is doing great with continuous,1
79,sir meri wife ko hafta ho gya hospital ke chakker lagate abi tk doctor ne koi medisen nhi di aur,0
80,mp me govt kamalnath ki h ... wese ek or video viral h jisme aapke shantidut bhai ek dukandar,2
81,besharam kitna baar tappad kayega tumara anti national hindu muslim dukan bhand hogaya bunt,1
82,digwijay ji ko to aise hi chunaw me harne ka tension ab dusra bhi tension de gya is sant ne wo ye ki,1
83,she's so happy,2
84,airport vimlesh ji .. yeh apna vada nahi nibha rahe pehle kaha ki .. if u purchase any land will be stamp dut,1
85,ab hamari raksha to bhagvan hi kar sakta hai q ki jahan ka system sarkar hi aaropiyon ko bacha rah,0
86,iska toh koi bhi video ya audio dekhna hi nahi hai ... bewakoof aadmi hai ye ... isne,1
87,tum apni taraf aane wali takleefon ko apne gunahon ki saza mat samjhna mera allah bohat mehrban hai wo badle nahi l,2
88,rahul gandhi ko chowkidar chor hai ka nara bhut bhari pad gya kuki wo khud bail,0
89,stuffs salman will continue to fuck your chindiwaali filmfare so best of luck to you too mote bhains,1
90,ye sajish ho sakti hai bahut badi ise halke na le .. sarkar aur sena dono .. kyu bola usne aisa isko gira,2
91,no one better than srk his charm his personality his swag ek yessa hero jiski villain role sbse jayda popular hoti,2
92,sir ye oonki aadat may shumaar hbycot se media or deshwasion ko bhi pata chalegaki gandi naali k,0
93,kyu ki ye us ravan ki tarah hai jo apne ap ko hi bhagwan samjhne lgi hai aise logo k,1
94,too waqie boht bra haraami hi nahi bul k waldo zinaa ki paidawaar hai teri maan bhi tangg th,2
95,congratulations to our hounarble prime minister shri narendar damoder dass modi ji hum sabi bharat wasi yahi kaman,2
96,if you give me a free place i'll operate as official weatherman on day on your behalf haha !! (&,2
97,kesy log ho ap yr log tumhe pakistan ka mustakbil keh ke phir rhy aur usi mulk ke bando ko galiya do gy shame yrr,0
98,agar kisika ke naam se entertainment karke koi apna pet bharta h to usme burai nahi h bohot sare com,2
99,grad walk at !! kids are very excited to see and sam yeto graduating seniors in the,2
100,is it possible ?? sabhi situatiin ko dkhne ke baad nd saari logical chz ke result ko jaannne ke baad aisa hona cha,0
101,what nonsense pehle shrenu ko,2
102,samay samay ki baat hi rathee ab ispr kch bolne ki himmat bc,2
103,tintin lindsay freaks n geeks i love her would die for her just so cool literally minds her own busines,2
104,a mirza kyon matlab english zubaan mein dua karte hain unki dua qabool nahi hoti had ho gayi hai allah to un,1
105,khan sb ko modi ne is liay nahee bulaya k agar khan sb aajayenge tou indian media modi kochour kar kha,0
106,happy birthday p'fluke !! i wish you a good health khrab more projects to come have a life full of bounty more,2
107,desh mai karib crore muzlims hai and ko pure desh mai sirf crore votes mile .... matlab wanha bhi vo,0
108,for me the best moment was when prithvi singh says launda serious h .. totally loved it,1
109,i swear this person is my fav walla i m nothing without her in my life i m really grateful to have her as my sist,0
110,aapne kaam kiya hai isse koi inkar nhi kar sakta lekin aapko vote isliye nhi diya kyuki aapne itne galat decisi,2
111,extra big parang pagmamahal ko sakanya hahaha ayieeee love you nay z,2
112,thoda sa aukaat dekh lena chahiye apna ... tujhse to ka kuch ho nahi sakta bc fuc king,1
113,hume gurav hai ki shreeman pm modi ji jaisa es new hindsthan ko sab ka sath sa,0
114,ye qanoon e-fitrat hai social system jo khuda n design kiya is m mard ko hi agay chalna hai wo dun,1
115,hahahaha ... allah aisey maulana sahab se kaum ki hifazat farmayee .. ye mudde uthane nahi,2
116,sonu bjp ne more than tickets diye the ek ko bhi vote ni diya tum logo ne vote doge cong,0
117,am mowglu mere roney se meri maa bahut khush thi mere roney se meri maa bahut khush thi jab mai pa,1
118,kabhi apne paiso se bhi saifai me randi nachwa dete toh aisa nahi hota humesha sarkari maal udane se,1
119,swaraj aap apni bhasa pe sayam rakh,1
120,ab ye btaega isse pucho tere jiyne b mla hai usme se gina hindu mla kaunsa hai teri muslim awaadi wale gaao,2
121,chahye in ka hisab allah pak khud kry ga inshaallah .. pehle i thought k shia are those peop,1
122,isme kaha pata lag raha he ki ye modi rss k log he matlab koi hindu kisi musalman ko maare to bjp rss,1
123,hahahaha it s funny cause it s true,1
124,i just need all the major all the time hehe,1
125,e vm zindabad bjp ko koi defeat nahi de sakta chehe jitana bhrastachar karo or murder politics me sb jayaj hai,2
126,ye jahalat nahi to aur kiya hy masoom bachon ko bhi adis horahi hy hiv vaba ki shakl akhtiar kar chu,0
127,bakwaaas there is so much love in friendship people forget that,2
128,blockbuster series ki waat lagaye ga iss ko bahubali me bhi lelo usko bhi flop karwa dega !!!,1
129,sir ye log randi aur bharuaa se kam nahi hai ye sale harami log deshdrohi hai mai galat word esiliye nikalta hui,0
130,pakistan ke captain ki statement sach saabit ho rhi h pehla hi match buri tarah se haar gyi ... shi kha tha sarfaraj,1
131,tu khelna chodd dega hum dekhna chodd denge we love uh infinity,1
132,bea iske zimmedar wo harami maulana aur algaowadi neta h jo apne bacchon ko foreign mein p,1
133,uncle aap ko chutiya bnaya gya h ... ye video doctored h ...... apke modi prem ko dekhte hue .. aapko bheja gy,0
134,ia india aapki shahdat ko shat shat naman vande matram bharat mata ki ja,2
135,chawal log intahai chawal log phir aaty hain wo log jo ki baqwaas kar rahe hain .. ye in logon se,0
136,kehne matra se bench ko sthagit kar diya gaya aur fir ek mediator ko introduce kar diya ki ab sarvsah,1
137,ye asal mein naye khiyalat hain islam ne tou taleem her musalman per farz ki hai taleem nahi hou,1
138,hat's off you paaji bina kisi dar ke aap hamesha sach ko saamne laate ho aur yahi ka dna,1
139,me playing yoosung's route he's such a cinnamon roll my heaaarttttttt baby boy must proteccccccc,2
140,my favorite being human bajrangi sultan salman khan film bharat th june dekhna na bhule,1
141,modiji ko dhanyawaad aur suresh prabhuji se prarthana well please ignore that thanks sushma ma'am,0
142,one kind word .. can change someone's entire day ..!! i am waiting for your love n smiles from so long a,0
143,agarwal he was no where during elections jaise bjp election jeeta ye prakat ho gaya with his aaltu-faaltu,2
144,fahad mustafa ne pure pakistan ko truck ki bati k piche lagadia hain .. aur phr ye awaam bhi subhanallah milna kch,1
145,merut me jashn mnane pe jise mara gya mullo ne wo hindu tha delhi me beti ko bchane,0
146,ayushmann bhai salute to u ... ghajab h ... brave attempt,0
147,i found this awesome recording of main teri mohabbat mein pagal ho jaunga on,0
148,kya hua upenderji kaanha khun ka nadi bah rahe hain lovi ka yahi hal hota hai bjp aapko sal minis,0
149,media sahi se kaam krti na sir to govt bhi january mein hi ye report de deta .... lekin media ko hindu muslim,2
150,hahahahahahahahahahhahahahaha look who is talking jo jhoot moot k bimaar ban k bahar baithay hain,1
151,kya iss jit se hindustan ke future par koi asar padne wala he nahi mujhe nahi lagta kyu ki jab koi admi national t,1
152,all i m looking forward to insha allah,2
153,karwahi nahi ho rahi hai or bar bar jan se marne ki dhamki di ja rahi hai up sarkar manwar yogi adith nath up cm,0
154,intense dear jodi this is one of those times when i d love to know the next scene like all great sto,1
155,viswas rohit kah raha he teri khopdi etne chhed kerenge ki teri khopdi khopdi nahi,2
156,ppp khuda ka naam lo nabi ka naam lay kar her cheez ko twists karlo saudia or emirates ma,0
157,,0
158,sir mai aapako aapana hero or aadarsh manata hu or mai aapase purna rup se dudaker desh ke hit me aap,1
159,agg here's my jhadu ki jappi hope it makes you feel better,2
160,girls like you is echt zo n leuk nummer en dan komt opeens die schijt van cardi b ?? sorry maar hoezo kon niemand i,0
161,you are doing great job just ignore them ramjaan k samay pura din bhukhe rakh kr aap it,1
162,lekin ganga maa jab bulati hai to modi ji jaate hai you anti national in,0
163,congratulations bhut bhut badhai aur subhkamnaye,1
164,chai bechna bhi koi sharm ki baat nahi par tere jaise kaamchor nithalley vellley ko bus pappu ke,2
165,lekin tumhe matlb ki baat isliye pta nhi chlti kyoki t,0
166,abe nhi tum sab chor ho be jab saale tum jeete to aache kaam ki wajah se jeete or jab harne ki baari aayi to,0
167,bc bakchodi ki bhi seema hoti hai ek .. kuchh bhi kar ke behan jaisa maan ke thappad maara ye saare bjp wale,0
168,pakpassion but bhai unke samne ... starc cummins coulter nile the ... best pace bowli,2
169,yadav88,1
170,aap log opposition main ho kisliye tweet karne se dal sashti ho jayegi itni haar ho chuki hai frvi samajh main,0
171,g hindustan mein hindu muslim ek dusre ke dushman kabhi nahi the ye to kuch political p,1
172,rishu aisehi log hai jo har legend ko bura bhala bolte hai yha tk k god of cricket ko bhi nh,0
173,police shivratan ganj thana ki vyavastha dekhi jaaye yahan par sunwai nahi hoti hai kisi ki sale paisa kha kar ba,0
174,vet han wo phr agli eidi pr bheju ga na agr kamiyaab hua is pr to khud eidi ko taras rhy hain aur agr lora,1
175,mamta ko kabhi mafi nahi melegi wo sirf maharashtra main aake dikhaye kutte apne y,1
176,jai hind sir main prashant rathore aapse request karta hoon ki pubg game ko india mein ban kar dena chah,1
177,yeh woh loog hain jinko nawazmafia ki corruption nazar nahi ayi thi inkaay leya gaya qarza nazar nahi ata tha,2
178,yehi chij aap par bhi lagu hoti hai patrakar madam sahiba jis tarah se aap vipaksh ki bakhiya ud,2
179,cuz hindi is not a national language and modi is just a leader not a god .. its their own choice to whom,2
180,tuj jaise ko koi kyu marega tu free ka entertainment deta hai waise b jab se congress join kiya tab s,0
181,narendra modi takes oath as prime minister jai hind vande mataram,1
182,iss kunal ka itne bhav mat do kuch log apni aukat se jyada uchhalte hain better ignore hi,1
183,bro salman khan mazak kr rha tha .. media wrong news de rhi hai .. if u,2
184,jab congress ke spokesperson tv debate me battamiji karte the tab to unko nahi roka gaya ab haar ke baad jawab den,1
185,chub ne kutte ki awlaad tere baap ka nahi hai sale yah india tu ja be nepal ag,0
186,mera bass ekhi sawaal jo humesha puchta hu lakin pick kabhi nahi hoti umid hai aaj pic,2
187,artha ye bhn k lode iske jese sale chewtiya logo ko hi sabse phle bengal m chutiya kata tha angr,1
188,har mach harnay kay baad sarfu ahe bolta hain,0
189,news channel walo ne apne imaan ko bech kar bjp ku jo advertisement ki hai ye jeet usi k,0
190,world cup ni chahiye bus india ko harana maqsad hai in sha allah,0
191,prachand jeet ki hardik subhkamnaye pls rserv lane for ambulance ov,1
192,aap thik se dekhe nhi video ko wo dra huavideo ke start me use dhmka ke bola ja rha h jo,1
193,aum na naa your boys played really well this meme explains it all,2
194,tumlog raag alaapna band kro be .. vande nhi bola to desh drohi .. population pe nhi bol,1
195,kuty ki dum ki tarha tharki logo ki koi b age ho wo thark pan ni chord skty kai log tu larki ko ghr k a,2
196,agr ptm ki karhiyoon ko milaya jaye tu akhiri karhi malala aur usk baap pr ja k rukay gi zruri nhi ma,2
197,original audio of lal bahadur shastri giving the slogan of jai jawan jai kisan archives,2
198,exactly this season had the old charm intact until -5 episodes ago pata nahi achche khaase show ki band kyun ba,2
199,sir you will definitely come home happy and healthy waheguru ji ka khalsa waheguru ji fateh,0
200,rahat indori at his best for jagjit singh mushayra by entertainment now,1
201,har bhartiyo ko army training kareye tabhi bhart fit rah sakta hai israel jesa es umid ke saath pahala vote kiya bj,2
202,this is wrong we are not blind followers we will not defend it wesy b zartag gul ne abhi tak kia,1
203,kya chutiyapa chala ke rakha hai bc ek din hua nahi ki faltu ki bakwaas chalu hogayi coretards ki bina kuch samjh,1
204,sahab aisa suggestion mat dijiye ki rg should h,2
205,akkian __ aditya true bc opening n lt na hua to bc taboo bana diya saal,0
206,poore desh mein jashn hona chahiye rockets-meethayi-street dance and all har ek tarike se celebrate,0
207,the chanakya of modern india is our new home minister congratulations to amit shah ji ... terrorists sepa,2
208,bedhadak jao ... agar kutton ne napak harkat ki to pakistan duniya ke nakse se gayab hoga,0
209,awaaz tujh jaisa bhadave dalal sala apne ko,1
210,a badha favorite word hai tera bhonk har,1
211,yahan k lig hi kharab hai itna kiya fit v vote nahi diya next time us ka elect,1
212,modi ji main dekh raha tha tv ek din to aap kah rahe the jab main chota tha tab maine sitapur ka naam,1
213,seen karke log mujhe ignore karty msgs,1
214,and ke elections jo ki aur tough the bjp ke against sab mil ke l,2
215,sahab garam hava (1973) ke baad koi movie jo dil ko chhu gayi woh apki movie mulk hain kudos to you,0
216,very very thanks sir or ummid karta hu ki aap esko jarur solve karenge mai apko bar bar tha,1
217,gov pti we didnt vote you to i,1
218,kya hua sir result k baad apka koi video nahi aya .... rally or tv debate nahi ho rahe hain to cont,2
219,last chance !!!! get random tees for the incredible price of /5/$6 at,1
220,allah ki makhlloq pr ya unki zahiri shakhsiyat jo allah ne bnayi hai koi insan khu,1
221,wahhh one of my fave moots din kita huhuhu ilysm,0
222,good morning my almighty papa ji plz bless me my family more sewa sumiran p,0
223,siab baitanai,2
224,his smile our jaan pyar dosti hai love is friendship bff time,0
225,harramzade teri maa marre ameen harramzade teri biwi ko fauji fuck krien ameen,2
226,wish you a very happy and delightful birthday sir you're and will always be my favourite actor h,1
227,modi ji i m renter in new delhi i'll pay rs for per month society maintenance mere landlord k pass bhut,1
228,tu patrkar hai ya santiduto ka chamcha tuje pta nhi ho to bta du mathura mai ramjan mai lashi fr,1
229,thank you so much veerji for the constant encouragement and helping this raw musician to start a j,0
230,evm ke khilaaf ab shashtra andolan ke siwai aur koi chara nahi moolwasiy,0
231,tamam aashiqan e rasool ko ho,1
232,ye dekhiye sream train me kisi ka hatya ho gya hai or kisi pr iska koi dhayan nhi kya aisi seva koi nhi h jisme,2
233,with nirmala sitharaman handling finance for the country expecting better loans for women entrepreneurs cut in ta,2
234,ha hota tha par wo galat tha jo hamne chor diya tum log to aaj,2
235,javab it is because we create a larger than person image in our mind in order to defend,0
236,a j b offl k9 bhaiya khud ka malba hum pe kio gira rahe ho dukh,1
237,thank you every1 for your warm wishes for your lovely edits and for beautiful vms it means alot to me that,2
238,jab tak ramji k charno me girkar mangoge nahi paoge nhi bhole baba ne hath khde kar liye main unke khne pe nhi,0
239,oyeee butttoooo sach m zinda hyyyy maaa ki ankhhh ghayb bhutto b chori kr rha hy sala salay kandan,0
240,happy birthday mammy rip miss u lots yes,0
241,agent101 true very true this called awareness alhamdulillah -saal say koi pochhnay wal,1
242,fikkar naa karo ye jo ab chand patwari rah gai hai in ki nasal tumhari agly nasal ki ghulami kare gi,1
243,maar khane waale hindu they ke musalmaan agar hindu hai to hum chahenge do char hamare or se bhee k,2
244,aur taali thukwaega chakke pappu harwa diya jahan jahan gaya state saaf kara diya tum jaise saare,1
245,mahrastra ka nirman ho chuka haii aur tere gundo ki sena ki jaroort nahii bas tere jaise gundo ka s,1
246,super busy superstar salmankhan at mehboob studio for interviews for promotion may )!,1
247,ye to electable nahi hai magar phir bhi aese logon ko aesa lag raha hai ke jo pti me hai is ko pakistan k,1
248,jab congress satta me tab to ye sawal aap logonke mann me nahi aaya aur jaise bjp aai to ye hindu m,1
249,wow this kid knows how to act natural so cute super chinna,2
250,log kitna bara chootiya hy jhoot ko such manker vote krdiya bcz of govt foult terror bring,2
251,madarchod tere ma ki chut mullo ki paidais deshdrohi tera ant jaldi hone vala hai,1
252,gud news ab eis ko treason ki saza milni chahye ager en jaisaon ko chor diya gya to ye mulk dushmana,2
253,congratulations sir ji ....... lots of love from india we are with you mere guruji shr,0
254,patrag rohatgi bilkul sahi inse accha toh crore kutte paal l,0
255,she wrong coz ali harami her family and media dlaaals in india pakistan arab countries playing shameless haram th,2
256,koi toh yaad dilao yaar bhul gaya hoga retorics over,1
257,thanks ji narendra modi ji aap aap apne rashtrapita ko nahin jo sab kar sakta hai apne apne,2
258,nai rajya sarkar banana usmen awsya hi bjp mla ko kharidegi to bjp ki niyat par bhi janta men awiswas phelega isliy,2
259,hakeypham love vloglist i have been wating forever it feels like and i am so happy just had to say cant watch ano,1
260,today prime minister narendra modi is sworn in as the world's largest democracy morva hadaf panchamahal gujara,1
261,bhayya sirf muslim ki himayat ki h to apka sahih b ghalat lag rha h,0
262,veeru devgn ji aaj hamare vich nhi rahe hain aur apne pichhe chhod gaye hain apna,2
263,happy birthday bhiya wishing you the best for the ongoing ind,0
264,haryana ye h police ka asli chera esleye logo ka visvas nhe h police pr kya thane me,1
265,lg786 when you send i love you to karan instead of kiran,0
266,chah jau all world ke kisi bhi desh ko bana du ya delete kr du meri marji kyu main kisi bad nhi sirf achha kr na st,2
267,sambit patra kal se kaha jaoge tumhari bakwas band ho jayegi bahut kar li tumne bakwas tum bhi kaha,1
268,politician ki tarah journalists ko bhi apni dukan chalani hai pahele bal thakeray ko galiya dete rahete,1
269,boht achy naya pakistan khawar manika ke qurbaniyon ke wajha se he to bna hai,1
270,uff kya acting he bholey ji apki !!! kamaal krdya aisa koi actor hi nai abtk jo is charactr k saat,0
271,sir agar aap fm ban jate to bombino buddhu bc pucca chor vegarah ko jail kaun bhejta .. aap isi role mai bdi,0
272,jay hind jay jawan jay bharat i proud to be indian army bhartiya jawano par hame ga,1
273,jani hamare to koi larki tweets tak like nahi karti,1
274,laash hon happy birthday bro may allah strengthen your good intentions and accept your supplications and p,0
275,itna hone k bad bhi modi ki nai sudhar sakte ..... election me bhi reservation kro kamino .... tan pain pata chalega,0
276,jo bhi sarkar ne kuch nahi kiya aap bjp ki sarkar ke upar umeed hai jo hamari sanjay colony bhartiya mangela jyothi,1
277,ji say no to cancer by saying no to tobacco,1
278,sholay as good as it gets jo jeeta vohi sikandar shashank redemption kshanam kshanam,0
279,modi ji appka most welcome to pm india,2
280,koi video aisi nai .. ramzan main jhoot bolti ho .. kyo k agat wo video hoti tu media kia tm ne share,1
281,so i got this skin from the new skin looks damn good thank you pubg ab yahi chamkaunga,0
282,urdu laga shart ..?? kch nh hoga bhai hare ho .. haro gai .. worldcup nh jeeto gai likh kr rkh lo ...,1
283,aazadi ke aandolan ke time to ye bjp rss wale goro ki chat rahe the lekin aaj evm ke,2
284,hello nutella thak you for becoming a moot we don't interact much pero i hope we become great friends i,0
285,cpm jiska khudka astitwa duniya se uth gaya wah kisiko vishesh position de sakti ha joke of century isn't it,1
286,raga mat dekh pm ka sapna tera itna aukat nhi namo dekhna hai to sapne hi dekh hakeekat me to tera v aukat nhi,2
287,accha hua yehi bet rakha aur kuch nahi rakha,1
288,ariel sub daag ka sfaya sirf aik dhulaye ma arieel aarieeel hoo hoo,2
289,everyone knows ad body double use nahi krta ye tera baap ka video teri tarah gawar hai akki sir ka cho,2
290,me made may day omg to celebrate i'm in my new colette penny dress i made out of some beautiful khadi fabric i,2
291,says ___ aap pakistan cricket team kay baaray main jitni touchy hain aap ko poora world cup tang,0
292,ur the great leader sir i pray to god for your good health aap jaldi thik ho kar vapas aaiye aap jais,0
293,sharma hindu hamesha hota hai true fake ki ladai hinduo me nahi hoti hai jo jai,0
294,respected sir kya bjp k ek chhote sevak ki jholi mei aapk ashirwaad rupi phul nahi naseeb ho payega,0
295,wow ye nahi pata tha ki hf ki opening g3 se achi thi .... vese bhi hf series >>> gol,0
296,chor on bail sirf imandar hi jit payega chor rahul gandhi ko koi value nayi india n,0
297,happy birthday to also to lea thompson who made me feel better about my first name colin farrell w,2
298,rahul gandhi jesa saccha neta kahi nahi milega jo kaha wo kiya jumle nahi fenke usne jhuth bada ho gay,1
299,sir yeh nitish kumar sabse bada blakmaker he agar bjp ke kuch seat bahumat se kam ho jaati to yeh,0
300,did you call opposition is there any they are a bunch of losers who doesn't even consider themselve,0
301,__ says ha .. proof toh kbka de diya gya h bc .. te log ki,2
302,mr president and the beautiful women in his life such a proud father,1
303,surya absolutely well said modiji seemed more confident than so more power to him in his second st,2
304,rahul gandhi pe dabaav hae ki istifa vapas lehar ki jimmedari samyukat hae kewal rahul ki nahi mera swaal fir raj,0
305,yogi ki to aisi ki taisi,2
306,you love africa love pablo kath to boop hahahahhahaa ang hilig mang-asar ni katreng,0
307,ratia waise gulami ka asli wajah sangh wale nahi batate honge woh hai aapsi dushman,1
308,n this is mother who gave birth to son who became cm and pm i will say that the son is,2
309,sarkar ki nahi par .. aisi journalist ko kuch aata hin nahi bass chillane se bade anchor banjaoge to,1
310,patrag nafrat bahot ho chuki abh saal tho araam karo sambit dont worry years no one can get u off st,0
311,jai shri ram good decision app aye ya na aye koi farq nahi padhta hai kyuin ki already modi jee a,0
312,hindu jagruti ke bina kuch bhi sambhav nahi he inka muqabla tabhi ho sakta he,1
313,rss ki vichar dhara ab bharat se kabhi khatam nahi hoga chahe koi kitna dum laga le,0
314,,0
315,sirf tareeka hai khush rehne ka by sandeep maheshwari,2
316,prayer for generosity,0
317,love my indiya,0
318,kya batting chal rahi haai pakistan ki akela babar azam kya kareh or sa team ki batting daikho aesy khaila kro yar,1
319,muhammadpti bas lanat beshmar tuj py jab pml the har wakt wao wao karta tha ur ab bas ap matlb ur nambr banany,1
320,bahi ma aapka bhout bada fan ho you are my idol bhai you are motivation for me,2
321,plz gadhe ko jalil mat karo ... atleast gadha is not corrupt n also real hardworking animal,1
